latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
45.064469,-75.162778,16,28,6210,7563,2023-11-26,1550,L9,L,D
45.160789,-75.216109,16,28,6071,7206,2023-11-26,1550,L9,H,D
45.161059,-75.21611,16,28,6071,7205,2023-11-26,1550,L9,H,D
45.198606,-75.210523,16,28,6086,7066,2023-11-26,1550,L9,H,D
45.200327,-76.063851,16,28,3852,7042,2023-11-26,1550,L9,L,D
45.215008,-75.246116,16,28,5993,7005,2023-11-26,1550,L9,M,D
45.215278,-75.246117,16,28,5993,7004,2023-11-26,1550,L9,H,D
45.250911,-75.432455,16,28,5506,6870,2023-11-26,1550,L9,M,D
45.251925,-75.374733,16,28,5657,6867,2023-11-26,1550,L9,H,D
45.251926,-75.374351,16,28,5658,6867,2023-11-26,1550,L9,H,D
45.252196,-75.374353,16,28,5658,6866,2023-11-26,1550,L9,H,D
45.465107,-76.77071,16,28,2023,6029,2023-11-26,1550,L9,H,D
45.465113,-76.770326,16,28,2024,6029,2023-11-26,1550,L9,M,D
45.466175,-76.771511,16,28,2021,6025,2023-11-26,1550,L9,M,D
45.466439,-76.771903,16,28,2020,6024,2023-11-26,1550,L9,H,D
45.466445,-76.771519,16,28,2021,6024,2023-11-26,1550,L9,H,D
45.466715,-76.771528,16,28,2021,6023,2023-11-26,1550,L9,H,D
45.469672,-76.772388,16,28,2019,6012,2023-11-26,1550,L9,H,D
45.469678,-76.772004,16,28,2020,6012,2023-11-26,1550,L9,M,D
45.469942,-76.772397,16,28,2019,6011,2023-11-26,1550,L9,H,D
45.469948,-76.772013,16,28,2020,6011,2023-11-26,1550,L9,H,D
45.470212,-76.772405,16,28,2019,6010,2023-11-26,1550,L9,M,D
45.473688,-76.19257,16,28,3530,6025,2023-11-26,1550,L9,L,D
45.473958,-76.192576,16,28,3530,6024,2023-11-26,1550,L9,L,D
45.503403,-75.031169,16,28,6556,5938,2023-11-26,1550,L9,M,D
45.553312,-76.926837,16,28,1624,5693,2023-11-26,1550,L9,L,D
45.565518,-76.939557,16,28,1592,5647,2023-11-26,1550,L9,M,D
45.565781,-76.93995,16,28,1591,5646,2023-11-26,1550,L9,M,D
45.565788,-76.939566,16,28,1592,5646,2023-11-26,1550,L9,H,D
45.887215,-77.298332,16,28,693,4431,2023-11-26,1550,L9,H,D
45.887485,-77.298343,16,28,693,4430,2023-11-26,1550,L9,L,D
42.513712,-76.717544,16,30,4824,6489,2023-11-26,1551,L9,M,D
42.64376,-76.456908,16,30,5546,6021,2023-11-26,1551,L9,H,D
42.643765,-76.456542,16,30,5547,6021,2023-11-26,1551,L9,M,D
42.64403,-76.456915,16,30,5546,6020,2023-11-26,1551,L9,H,D
42.644035,-76.456549,16,30,5547,6020,2023-11-26,1551,L9,M,D
42.863724,-76.991259,16,30,4105,5177,2023-11-26,1551,L9,H,D
43.060248,-76.044898,16,30,6691,4496,2023-11-26,1551,L9,H,D
43.063256,-76.205955,16,30,6254,4479,2023-11-26,1551,L9,M,D
43.081569,-77.381205,16,30,3066,4343,2023-11-26,1551,L9,H,D
43.081839,-77.381216,16,30,3066,4342,2023-11-26,1551,L9,H,D
43.123524,-76.900465,16,30,4374,4221,2023-11-26,1551,L9,L,D
43.200537,-78.253531,16,30,716,3823,2023-11-26,1551,L9,M,D
43.247893,-75.995994,16,30,6832,3803,2023-11-26,1551,L9,L,D
43.290757,-78.037585,16,30,1313,3511,2023-11-26,1551,L9,L,D
43.323827,-76.360579,16,30,5850,3508,2023-11-26,1551,L9,H,D
43.371266,-76.519013,16,30,5425,3325,2023-11-26,1551,L9,L,D
43.486948,-76.386124,16,30,5791,2903,2023-11-26,1551,L9,H,D
43.486953,-76.385753,16,30,5792,2903,2023-11-26,1551,L9,L,D
43.982688,-77.090761,16,29,2488,6268,2023-11-26,1551,L9,L,D
