latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28.84254,22.11275,302.08,1.91,1.35,2023-11-26,22,Aqua,MODIS,47,6.1NRT,282.79,21.65,N
28.91501,20.96437,302.52,2.3,1.47,2023-11-26,22,Aqua,MODIS,50,6.1NRT,283.16,28.23,N
28.92181,19.78746,305.65,2.79,1.6,2023-11-26,22,Aqua,MODIS,65,6.1NRT,282.84,46.01,N
29.69448,32.32259,300.75,1.29,1.13,2023-11-26,22,Aqua,MODIS,33,6.1NRT,286.27,8.54,N
9.14847,25.77542,301.94,1.11,1.05,2023-11-26,26,Aqua,MODIS,30,6.1NRT,289.0,4.6,N
9.15,25.76553,300.89,1.11,1.05,2023-11-26,26,Aqua,MODIS,22,6.1NRT,287.38,4.11,N
9.27535,26.33896,306.75,1.18,1.08,2023-11-26,26,Aqua,MODIS,69,6.1NRT,290.46,9.08,N
9.49611,26.38176,312.42,1.17,1.08,2023-11-26,26,Aqua,MODIS,85,6.1NRT,288.69,14.23,N
9.50567,26.38324,300.14,1.17,1.08,2023-11-26,26,Aqua,MODIS,11,6.1NRT,285.91,4.69,N
9.63367,26.40896,305.77,1.17,1.08,2023-11-26,26,Aqua,MODIS,39,6.1NRT,293.8,6.13,N
9.64162,26.42097,317.58,1.18,1.08,2023-11-26,26,Aqua,MODIS,95,6.1NRT,293.96,17.06,N
9.64804,26.37903,307.07,1.17,1.08,2023-11-26,26,Aqua,MODIS,70,6.1NRT,292.92,7.14,N
9.64964,26.36858,306.26,1.17,1.08,2023-11-26,26,Aqua,MODIS,67,6.1NRT,292.85,6.75,N
9.65235,26.3757,314.1,1.17,1.08,2023-11-26,26,Aqua,MODIS,28,6.1NRT,293.4,11.16,N
9.65529,26.41904,313.27,1.17,1.08,2023-11-26,26,Aqua,MODIS,59,6.1NRT,294.28,11.63,N
9.65694,26.40855,319.43,1.17,1.08,2023-11-26,26,Aqua,MODIS,86,6.1NRT,294.79,17.2,N
9.66189,26.37719,323.74,1.17,1.08,2023-11-26,26,Aqua,MODIS,96,6.1NRT,294.6,21.8,N
9.66485,26.42053,316.05,1.17,1.08,2023-11-26,26,Aqua,MODIS,92,6.1NRT,294.44,15.13,N
9.6665,26.41004,324.44,1.17,1.08,2023-11-26,26,Aqua,MODIS,100,6.1NRT,295.14,24.21,N
9.67143,26.37868,324.05,1.17,1.08,2023-11-26,26,Aqua,MODIS,90,6.1NRT,295.17,22.1,N
9.67633,26.34748,307.13,1.16,1.07,2023-11-26,26,Aqua,MODIS,18,6.1NRT,293.21,6.65,N
9.67933,26.39062,328.15,1.17,1.08,2023-11-26,26,Aqua,MODIS,100,6.1NRT,295.27,28.85,N
