latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
67.28082,83.02816,322.62,0.78,0.78,2023-11-26,102,1,VIIRS,n,2.0NRT,243.7,5.4,N
67.28183,83.03571,329.38,0.78,0.78,2023-11-26,102,1,VIIRS,n,2.0NRT,244.0,5.54,N
67.51799,83.21509,329.1,0.75,0.77,2023-11-26,102,1,VIIRS,n,2.0NRT,246.12,5.36,N
67.59496,83.24377,326.29,0.74,0.76,2023-11-26,102,1,VIIRS,n,2.0NRT,245.74,4.86,N
67.71418,81.2509,339.53,0.71,0.75,2023-11-26,102,1,VIIRS,n,2.0NRT,248.92,7.23,N
68.414,83.61639,341.23,0.65,0.73,2023-11-26,102,1,VIIRS,n,2.0NRT,250.37,6.34,N
66.63777,77.54768,367.0,0.78,0.78,2023-11-26,104,1,VIIRS,h,2.0NRT,252.28,10.92,N
66.64098,77.55325,337.38,0.78,0.78,2023-11-26,104,1,VIIRS,n,2.0NRT,248.99,12.65,N
66.95882,75.53944,354.35,0.72,0.75,2023-11-26,104,1,VIIRS,n,2.0NRT,253.04,9.65,N
66.99754,80.87015,326.1,0.79,0.78,2023-11-26,104,1,VIIRS,n,2.0NRT,249.23,6.98,N
67.00449,80.86545,321.41,0.78,0.78,2023-11-26,104,1,VIIRS,n,2.0NRT,248.52,6.35,N
67.01923,76.19081,323.13,0.72,0.76,2023-11-26,104,1,VIIRS,n,2.0NRT,249.19,3.18,N
68.52416,79.95226,345.44,0.61,0.71,2023-11-26,104,1,VIIRS,n,2.0NRT,251.1,10.35,N
68.52728,79.95006,350.12,0.61,0.71,2023-11-26,104,1,VIIRS,n,2.0NRT,250.94,9.51,N
70.94263,74.88418,339.85,0.39,0.59,2023-11-26,104,1,VIIRS,n,2.0NRT,252.12,2.96,N
70.94418,74.53429,353.58,0.38,0.59,2023-11-26,104,1,VIIRS,n,2.0NRT,252.74,4.25,N
70.99972,73.84103,367.0,0.38,0.58,2023-11-26,104,1,VIIRS,h,2.0NRT,271.99,87.34,N
71.01228,73.87948,329.42,0.38,0.58,2023-11-26,104,1,VIIRS,n,2.0NRT,251.13,2.86,N
71.23087,67.00661,336.67,0.63,0.54,2023-11-26,104,1,VIIRS,n,2.0NRT,259.0,20.06,N
71.25947,72.07021,354.3,0.35,0.57,2023-11-26,104,1,VIIRS,n,2.0NRT,257.22,7.05,N
49.50484,5.95807,328.54,0.57,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,275.77,8.45,N
50.99108,5.79222,297.86,0.4,0.44,2023-11-26,111,1,VIIRS,n,2.0NRT,274.96,0.49,N
51.03449,2.2867,306.73,0.56,0.52,2023-11-26,111,1,VIIRS,n,2.0NRT,277.71,1.87,N
51.03883,2.29554,308.14,0.56,0.52,2023-11-26,111,1,VIIRS,n,2.0NRT,276.68,1.87,N
51.04361,2.29623,309.17,0.56,0.52,2023-11-26,111,1,VIIRS,n,2.0NRT,278.12,4.33,N
51.04839,2.29689,337.1,0.56,0.52,2023-11-26,111,1,VIIRS,n,2.0NRT,277.76,4.33,N
51.36363,6.70968,314.66,0.56,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,275.22,3.52,N
51.36758,6.7106,318.1,0.56,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,278.65,3.52,N
51.36831,6.7025,331.42,0.56,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,275.94,5.34,N
51.48185,6.71928,315.26,0.56,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,265.34,2.5,N
51.4922,6.73834,305.64,0.56,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,275.87,3.1,N
51.49613,6.73929,332.21,0.56,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,279.24,3.1,N
51.50158,6.7239,301.95,0.56,0.43,2023-11-26,111,1,VIIRS,n,2.0NRT,280.31,1.68,N
51.76694,8.05797,301.63,0.51,0.41,2023-11-26,111,1,VIIRS,n,2.0NRT,274.02,0.92,N
51.88712,29.33534,306.87,0.35,0.56,2023-11-26,111,1,VIIRS,n,2.0NRT,266.86,2.32,N
51.89183,29.33898,349.78,0.35,0.56,2023-11-26,111,1,VIIRS,n,2.0NRT,270.42,2.32,N
52.15248,10.39742,328.03,0.44,0.38,2023-11-26,111,1,VIIRS,n,2.0NRT,273.64,4.45,N
52.1552,10.40486,334.36,0.44,0.38,2023-11-26,111,1,VIIRS,n,2.0NRT,275.05,4.45,N
52.1614,10.41341,306.51,0.44,0.38,2023-11-26,111,1,VIIRS,n,2.0NRT,273.13,2.11,N
52.16216,10.40709,296.28,0.44,0.38,2023-11-26,111,1,VIIRS,n,2.0NRT,271.07,1.34,N
52.16682,10.42831,302.99,0.44,0.38,2023-11-26,111,1,VIIRS,n,2.0NRT,272.26,1.19,N
52.17336,14.62165,295.35,0.38,0.36,2023-11-26,111,1,VIIRS,n,2.0NRT,270.97,0.58,N
52.3541,9.88529,298.23,0.45,0.39,2023-11-26,111,1,VIIRS,n,2.0NRT,271.37,0.55,N
52.48286,4.59349,319.47,0.47,0.47,2023-11-26,111,1,VIIRS,n,2.0NRT,278.26,1.71,N
52.48334,4.58652,322.65,0.47,0.47,2023-11-26,111,1,VIIRS,n,2.0NRT,276.12,3.27,N
52.49504,4.6098,317.75,0.47,0.47,2023-11-26,111,1,VIIRS,n,2.0NRT,277.09,2.7,N
57.06175,9.97282,317.51,0.51,0.41,2023-11-26,111,1,VIIRS,n,2.0NRT,271.89,3.36,N
58.36084,12.37861,297.23,0.45,0.39,2023-11-26,111,1,VIIRS,n,2.0NRT,265.97,0.93,N
59.6619,16.45827,329.64,0.4,0.37,2023-11-26,111,1,VIIRS,n,2.0NRT,267.62,3.74,N
60.28705,22.28908,311.8,0.4,0.37,2023-11-26,111,1,VIIRS,n,2.0NRT,264.53,1.26,N
38.74088,26.94501,303.45,0.72,0.75,2023-11-26,113,1,VIIRS,n,2.0NRT,280.84,2.87,N
38.74289,26.94216,298.34,0.72,0.75,2023-11-26,113,1,VIIRS,n,2.0NRT,278.78,2.64,N
38.75557,26.94959,300.48,0.72,0.75,2023-11-26,113,1,VIIRS,n,2.0NRT,281.56,2.37,N
42.57136,12.67536,322.14,0.4,0.37,2023-11-26,113,1,VIIRS,n,2.0NRT,273.74,1.76,N
43.36383,12.54501,309.45,0.39,0.37,2023-11-26,113,1,VIIRS,n,2.0NRT,272.56,1.27,N
43.44003,4.88874,309.27,0.54,0.42,2023-11-26,113,1,VIIRS,n,2.0NRT,274.31,2.6,N
43.44708,4.89696,327.53,0.54,0.42,2023-11-26,113,1,VIIRS,n,2.0NRT,275.23,3.44,N
43.52729,-5.73895,327.06,0.61,0.71,2023-11-26,113,1,VIIRS,n,2.0NRT,265.87,5.64,N
43.52902,-5.73863,330.8,0.61,0.71,2023-11-26,113,1,VIIRS,n,2.0NRT,264.9,4.36,N
45.14408,9.94361,319.39,0.39,0.37,2023-11-26,113,1,VIIRS,n,2.0NRT,277.51,3.13,N
45.14479,9.93864,326.19,0.39,0.37,2023-11-26,113,1,VIIRS,n,2.0NRT,275.22,3.13,N
45.38065,11.95049,297.42,0.38,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,276.3,2.24,N
45.38142,11.94565,330.97,0.38,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,275.47,3.53,N
45.45885,10.45773,296.01,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,273.36,1.0,N
45.46215,10.4587,305.74,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,274.86,1.72,N
45.46287,10.45377,325.5,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,274.47,1.72,N
45.51597,10.34282,295.64,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,276.43,0.59,N
45.52059,11.49693,304.19,0.38,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,273.69,1.18,N
46.06781,13.62668,302.98,0.39,0.37,2023-11-26,113,1,VIIRS,n,2.0NRT,272.9,1.09,N
48.27404,14.32339,307.4,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,272.93,1.01,N
48.27464,14.34012,324.53,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,275.17,1.39,N
48.27553,14.33496,336.82,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,279.32,6.06,N
48.27642,14.3298,314.29,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,274.76,6.06,N
48.2779,14.34138,304.12,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,272.96,1.39,N
48.27879,14.33622,331.37,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,274.93,6.06,N
48.28117,14.34263,303.14,0.39,0.36,2023-11-26,113,1,VIIRS,n,2.0NRT,275.13,0.81,N
49.35836,6.74726,308.73,0.53,0.42,2023-11-26,113,1,VIIRS,n,2.0NRT,275.9,2.44,N
52.58857,19.69155,307.71,0.45,0.39,2023-11-26,113,1,VIIRS,n,2.0NRT,269.12,1.69,N
52.5907,19.6998,310.64,0.45,0.39,2023-11-26,113,1,VIIRS,n,2.0NRT,270.15,1.48,N
52.62348,18.32602,340.66,0.42,0.38,2023-11-26,113,1,VIIRS,n,2.0NRT,270.31,4.06,N
53.12967,8.67953,307.72,0.5,0.41,2023-11-26,113,1,VIIRS,n,2.0NRT,267.85,4.05,N
53.13044,8.67205,328.64,0.5,0.41,2023-11-26,113,1,VIIRS,n,2.0NRT,271.27,4.05,N
53.1334,8.6806,306.71,0.5,0.41,2023-11-26,113,1,VIIRS,n,2.0NRT,266.15,4.05,N
53.51233,10.03531,299.76,0.46,0.39,2023-11-26,113,1,VIIRS,n,2.0NRT,273.88,0.86,N
53.52346,9.90234,335.76,0.46,0.39,2023-11-26,113,1,VIIRS,n,2.0NRT,272.97,4.89,N
54.16282,9.07065,295.02,0.5,0.41,2023-11-26,113,1,VIIRS,n,2.0NRT,269.16,0.83,N
