latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-18.92422,27.65155,304.32,1.03,1.01,2023-12-07,0,Aqua,MODIS,57,6.1NRT,293.67,4.72,N
-18.91516,27.65295,305.96,1.03,1.01,2023-12-07,0,Aqua,MODIS,62,6.1NRT,294.19,5.61,N
-25.54864,23.82643,309.75,1.03,1.01,2023-12-07,2,Aqua,MODIS,78,6.1NRT,292.99,8.91,N
-25.54704,23.8163,308.08,1.03,1.01,2023-12-07,2,Aqua,MODIS,73,6.1NRT,292.8,7.8,N
-24.61122,23.56007,323.97,1.06,1.03,2023-12-07,2,Aqua,MODIS,100,6.1NRT,295.57,22.03,N
-24.60957,23.54972,310.47,1.06,1.03,2023-12-07,2,Aqua,MODIS,80,6.1NRT,294.75,8.8,N
-24.60205,23.56183,306.58,1.06,1.03,2023-12-07,2,Aqua,MODIS,69,6.1NRT,295.49,6.29,N
-24.59122,23.55322,320.58,1.06,1.03,2023-12-07,2,Aqua,MODIS,100,6.1NRT,295.39,18.2,N
-16.15825,141.72948,331.95,1.4,1.17,2023-12-07,5,Terra,MODIS,70,6.1NRT,306.28,21.05,D
-16.15255,141.73711,335.01,1.4,1.17,2023-12-07,5,Terra,MODIS,75,6.1NRT,306.48,28.32,D
-16.15048,141.72424,337.04,1.4,1.17,2023-12-07,5,Terra,MODIS,82,6.1NRT,306.37,29.88,D
-15.84045,145.22668,329.2,1.01,1.0,2023-12-07,5,Terra,MODIS,76,6.1NRT,297.11,22.7,D
-15.62568,144.96004,332.04,1.02,1.01,2023-12-07,5,Terra,MODIS,67,6.1NRT,308.49,13.54,D
-15.62429,144.95071,357.17,1.02,1.01,2023-12-07,5,Terra,MODIS,98,6.1NRT,309.98,62.8,D
-15.62291,144.94141,342.07,1.02,1.01,2023-12-07,5,Terra,MODIS,88,6.1NRT,306.82,31.24,D
-15.60702,143.3934,324.52,1.15,1.07,2023-12-07,5,Terra,MODIS,41,6.1NRT,305.27,10.44,D
-15.60486,143.31813,326.01,1.16,1.07,2023-12-07,5,Terra,MODIS,64,6.1NRT,306.52,9.44,D
-15.60365,144.93491,334.85,1.02,1.01,2023-12-07,5,Terra,MODIS,60,6.1NRT,308.85,18.4,D
-15.60319,143.30756,332.91,1.16,1.07,2023-12-07,5,Terra,MODIS,79,6.1NRT,306.69,19.57,D
-15.60152,143.29697,331.28,1.16,1.07,2023-12-07,5,Terra,MODIS,77,6.1NRT,307.01,17.26,D
-15.5981,144.89766,355.26,1.02,1.01,2023-12-07,5,Terra,MODIS,97,6.1NRT,308.63,59.76,D
-15.59758,143.39496,324.74,1.15,1.07,2023-12-07,5,Terra,MODIS,32,6.1NRT,304.54,9.93,D
-15.59535,144.87926,358.32,1.02,1.01,2023-12-07,5,Terra,MODIS,99,6.1NRT,305.8,69.85,D
-15.59394,144.86984,345.49,1.02,1.01,2023-12-07,5,Terra,MODIS,91,6.1NRT,303.77,41.91,D
-15.59359,143.46579,320.85,1.14,1.06,2023-12-07,5,Terra,MODIS,39,6.1NRT,304.03,7.02,D
-15.59179,143.39119,325.92,1.15,1.07,2023-12-07,5,Terra,MODIS,30,6.1NRT,304.31,10.45,D
-15.59035,143.28792,325.38,1.16,1.07,2023-12-07,5,Terra,MODIS,66,6.1NRT,306.89,10.03,D
-15.585,144.87129,336.1,1.02,1.01,2023-12-07,5,Terra,MODIS,80,6.1NRT,304.24,25.43,D
-15.57744,144.88197,336.1,1.02,1.01,2023-12-07,5,Terra,MODIS,75,6.1NRT,307.75,22.31,D
-15.57605,144.87268,349.76,1.02,1.01,2023-12-07,5,Terra,MODIS,94,6.1NRT,305.75,49.43,D
-15.57144,145.02545,353.58,1.01,1.01,2023-12-07,5,Terra,MODIS,96,6.1NRT,310.58,57.42,D
-15.57005,145.01616,354.31,1.01,1.01,2023-12-07,5,Terra,MODIS,97,6.1NRT,309.7,58.83,D
-15.56866,145.00685,355.14,1.01,1.01,2023-12-07,5,Terra,MODIS,97,6.1NRT,309.22,60.08,D
-15.56847,144.88329,333.81,1.02,1.01,2023-12-07,5,Terra,MODIS,67,6.1NRT,305.98,18.29,D
-15.56727,144.99756,359.61,1.01,1.01,2023-12-07,5,Terra,MODIS,99,6.1NRT,308.81,71.6,D
-15.56709,144.87405,332.44,1.02,1.01,2023-12-07,5,Terra,MODIS,74,6.1NRT,303.94,18.14,D
-15.56264,145.03323,339.47,1.01,1.01,2023-12-07,5,Terra,MODIS,86,6.1NRT,308.99,25.66,D
-15.56127,145.02399,346.69,1.01,1.01,2023-12-07,5,Terra,MODIS,92,6.1NRT,311.02,38.26,D
-15.26849,144.00073,324.19,1.09,1.04,2023-12-07,5,Terra,MODIS,41,6.1NRT,303.66,6.8,D
-15.26696,143.99081,324.65,1.09,1.04,2023-12-07,5,Terra,MODIS,51,6.1NRT,303.77,7.46,D
-15.26536,144.04182,328.4,1.08,1.04,2023-12-07,5,Terra,MODIS,71,6.1NRT,303.41,14.26,D
-15.26384,144.03192,354.92,1.08,1.04,2023-12-07,5,Terra,MODIS,97,6.1NRT,304.6,66.02,D
-15.25926,144.0022,333.04,1.09,1.04,2023-12-07,5,Terra,MODIS,77,6.1NRT,304.82,18.34,D
-15.2042,144.7925,344.7,1.03,1.01,2023-12-07,5,Terra,MODIS,90,6.1NRT,309.55,35.94,D
-15.20279,144.78308,338.74,1.03,1.01,2023-12-07,5,Terra,MODIS,84,6.1NRT,311.9,24.05,D
-15.19774,144.07936,333.34,1.08,1.04,2023-12-07,5,Terra,MODIS,75,6.1NRT,305.81,17.44,D
-15.19521,144.79387,335.09,1.03,1.01,2023-12-07,5,Terra,MODIS,80,6.1NRT,310.6,19.36,D
-15.18007,144.63208,328.78,1.04,1.02,2023-12-07,5,Terra,MODIS,35,6.1NRT,311.14,8.39,D
-15.17791,144.0116,337.08,1.09,1.04,2023-12-07,5,Terra,MODIS,83,6.1NRT,304.75,25.5,D
-15.17638,144.00166,327.76,1.09,1.04,2023-12-07,5,Terra,MODIS,40,6.1NRT,305.92,11.04,D
-15.1763,144.06255,332.44,1.08,1.04,2023-12-07,5,Terra,MODIS,77,6.1NRT,306.39,15.98,D
-15.17104,144.63351,348.3,1.04,1.02,2023-12-07,5,Terra,MODIS,92,6.1NRT,310.27,40.44,D
-15.17029,143.90038,330.46,1.1,1.05,2023-12-07,5,Terra,MODIS,56,6.1NRT,303.34,14.8,D
-15.16961,144.62402,343.54,1.04,1.02,2023-12-07,5,Terra,MODIS,89,6.1NRT,312.69,30.91,D
-15.16719,143.94189,325.34,1.1,1.04,2023-12-07,5,Terra,MODIS,48,6.1NRT,302.97,9.44,D
-15.16716,144.00316,328.69,1.09,1.04,2023-12-07,5,Terra,MODIS,55,6.1NRT,303.35,13.74,D
-15.16671,143.34479,327.64,1.17,1.07,2023-12-07,5,Terra,MODIS,68,6.1NRT,305.4,13.92,D
