latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
64.5064,47.26124,367.0,0.33,0.56,2023-12-07,100,1,VIIRS,h,2.0NRT,244.43,7.05,N
59.13152,37.79316,343.98,0.32,0.55,2023-12-07,102,1,VIIRS,n,2.0NRT,259.62,5.35,N
59.13308,37.78834,339.67,0.32,0.55,2023-12-07,102,1,VIIRS,n,2.0NRT,259.74,5.43,N
59.79827,30.20593,332.49,0.55,0.43,2023-12-07,102,1,VIIRS,n,2.0NRT,254.26,9.62,N
63.31936,9.13834,298.8,0.47,0.48,2023-12-07,102,1,VIIRS,n,2.0NRT,273.94,1.58,N
51.88995,29.33826,326.35,0.6,0.53,2023-12-07,104,1,VIIRS,n,2.0NRT,252.14,4.61,N
51.36663,6.70483,326.84,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,274.18,2.87,N
51.36732,6.70508,328.21,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,274.6,3.98,N
51.4622,6.74342,303.06,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,273.13,1.18,N
51.4627,6.73715,315.71,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,272.18,2.39,N
51.48092,6.71626,312.98,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,271.5,2.06,N
51.48514,6.71714,320.12,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,273.36,2.42,N
51.48561,6.7109,312.18,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,274.82,4.45,N
51.48609,6.70461,348.04,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,277.62,4.45,N
51.49215,6.73767,304.82,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,272.88,2.26,N
51.50156,6.72678,299.51,0.43,0.46,2023-12-07,106,1,VIIRS,n,2.0NRT,276.49,1.65,N
51.85878,8.0288,308.34,0.39,0.44,2023-12-07,106,1,VIIRS,n,2.0NRT,275.17,1.33,N
52.48589,4.59377,297.93,0.54,0.51,2023-12-07,106,1,VIIRS,n,2.0NRT,273.24,1.28,N
52.49438,4.61134,320.56,0.54,0.51,2023-12-07,106,1,VIIRS,n,2.0NRT,275.12,3.47,N
42.49709,9.48332,296.06,0.42,0.37,2023-12-07,109,1,VIIRS,n,2.0NRT,274.91,0.39,N
43.43355,4.89591,303.16,0.42,0.45,2023-12-07,109,1,VIIRS,n,2.0NRT,275.61,0.89,N
43.4382,4.89136,296.83,0.42,0.46,2023-12-07,109,1,VIIRS,n,2.0NRT,275.12,0.89,N
43.44239,4.89208,296.62,0.42,0.46,2023-12-07,109,1,VIIRS,n,2.0NRT,275.19,2.4,N
43.44612,4.89808,318.87,0.42,0.45,2023-12-07,109,1,VIIRS,n,2.0NRT,276.91,2.4,N
43.44658,4.89279,330.92,0.42,0.46,2023-12-07,109,1,VIIRS,n,2.0NRT,277.85,2.4,N
43.45077,4.8935,296.24,0.42,0.46,2023-12-07,109,1,VIIRS,n,2.0NRT,271.5,0.65,N
45.14685,9.94388,326.91,0.42,0.38,2023-12-07,109,1,VIIRS,n,2.0NRT,281.15,4.76,N
45.42772,11.00115,297.14,0.4,0.37,2023-12-07,109,1,VIIRS,n,2.0NRT,274.88,0.49,N
45.46245,10.45427,303.14,0.41,0.37,2023-12-07,109,1,VIIRS,n,2.0NRT,273.39,1.52,N
45.48016,10.21153,310.55,0.42,0.38,2023-12-07,109,1,VIIRS,n,2.0NRT,274.22,1.59,N
45.51163,10.24199,302.03,0.42,0.38,2023-12-07,109,1,VIIRS,n,2.0NRT,271.41,0.69,N
45.51485,10.34418,296.1,0.42,0.38,2023-12-07,109,1,VIIRS,n,2.0NRT,274.9,0.62,N
47.06892,8.26475,299.61,0.5,0.41,2023-12-07,109,1,VIIRS,n,2.0NRT,273.19,1.09,N
26.03307,11.97773,319.47,0.53,0.42,2023-12-07,111,1,VIIRS,n,2.0NRT,285.61,2.33,N
26.43345,11.84837,311.92,0.51,0.41,2023-12-07,111,1,VIIRS,n,2.0NRT,284.3,1.66,N
26.56311,12.67798,303.47,0.56,0.43,2023-12-07,111,1,VIIRS,n,2.0NRT,284.72,1.17,N
26.58006,12.21045,328.01,0.53,0.42,2023-12-07,111,1,VIIRS,n,2.0NRT,285.96,5.22,N
26.70035,12.45445,313.86,0.55,0.42,2023-12-07,111,1,VIIRS,n,2.0NRT,281.77,3.51,N
